"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01"
"33","russischen","istanbul","mexiko","laender","praesidenten","franzoesische","bbva","dollar","ankara","praesidenten","staat","landes","brasilien","bull","mbeki","wladimir","mrd","erweiterung","politische","tuerkische","juschtschenko","suez","russen","budapest","politische","grossbritannien","frankreich","russlands","reformen","roemische","russischer","nicolas","tschechischen","schatz","insel","papakonstantinou","griechen","europaeische","frankreichs","tuerkei","bosomworth","europaeische","europa","camerons","wahlen","spanier","politiker","praesident","premierminister","poloz","napolitano","buenos","krise","zuma","grossbritannien","jewtuschenkow","umfragen","union","partei","insel","erdogan","england","of","europa","brief","tuerkische","vereinigten","ottewell","uebergangsphase","tuerkische","brexitverhandlungen","abgeordneten","vertrag","konservativen","vereinigten","abkommen","union","vertrag","londoner","brexits","zulassung"
"34","ankara","politischen","eukommission","wahlen","abwertung","kommission","dervis","chile","raffarin","argentinischen","forint","moskau","landes","tuerkische","union","niederlande","privatisierung","politische","juschtschenkos","polen","brasilien","enel","verfassung","polnische","labour","politische","brasilien","politischen","tuerkei","vorgaenger","georgiens","politischen","tuerkei","ungarischen","europa","russische","griechischen","bulgarien","grossbritannien","osteuropa","nicolas","brandt","russlands","griechen","mitglied","island","verfassungsgericht","briten","wahl","rom","navalny","paris","putins","orbán","  ","praesidenten","kreml","umfragen","stimmen","referendum","renzi","regierung","city","juni","zoelle","irland","of","referendum","city","europaeische","zollunion","zollunion","grenze","eustaaten","kommission","england","cummings","europaeer","europaeer","austritt","impfungen"
"35","laender","union","spanien","europa","politische","brasilianischen","abkommen","sch","bruesseler","forint","lebedjew","tuerkischen","de","eustaaten","italien","union","franzosen","moskau","michail","eukommission","eukommission","bawag","moskau","wahlen","lamy","frankreichs","franzoesische","konservativen","frankreich","politische","liberalen","russen","schweizer","medwedjew","vertrag","europaeische","juncker","regierungschefs","region","cowen","insel","russischen","arthuis","italienischen","forint","pasok","spanische","amt","praesident","europas","turk","landes","schottland","paris","praesident","sozialisten","referendum","mehrheit","politische","waehler","spanien","votum","vereinigte","johnson","frankreich","neuwahlen","parlament","of","harte","binnenmarkt","einigung","fairbairn","insel","schweiz","europaeische","zollunion","europaeische","abstimmung","koenigreich","eukommission","oxford"
"36","brasiliens","kommission","frankreichs","spanischen","landes","italien","bruessel","silva","landes","laendern","mol","praesident","beitritt","politische","bulgarien","gazprom","eubeitritt","bulgarien","wahlen","gazprom","europaeischen","kommission","landes","russischer","wladimir","franzoesischen","opposition","landes","politischen","parlament","wahlen","kanada","sozialisten","ratzel","politischen","ungarn","dahlgren","polen","de","aussenminister","eukommission","moskau","madrid","berlusconis","mario","umfragen","fiskalpakt","russland","italiens","thatcher","paris","premierminister","premier","union","abspaltung","waehrung","brexit","rubel","italiens","russland","johnson","tories","vereinigten","euaustritt","londoner","landes","verlassen","  ","erdogan","brexitverhandlungen","abkommen","brexits","chaotischen","verhandlungen","verhandlungen","vereinigten","kontrollen","parlament","kommission","freihandelsabkommen","harten"
"37","politischen","politische","rumaenien","italien","mrd","politische","paris","tuerken","franzoesische","crédit","investoren","europaeischen","kommission","mercosur","europaeischen","kolumbien","kutschma","franzoesischen","kiew","franzosen","dominique","opposition","europa","auslaendischen","schottische","pistorio","zypern","linke","kroatien","simbabwe","russen","auslaendische","rumaenien","uribe","wladimir","europa","redrado","griechischen","budapest","einigung","rom","wahlen","tuerkische","staatspraesident","fornero","spanische","mario","rompuy","binnenmarkt","regierungschefs","juwelier","sieg","referendum","frankreichs","frankreich","rumaenien","bruessel","parteien","spanischen","ukraine","polen","juni","euaustritt","europaeische","  ","erdogans","barnier","davis","zoll","of","grenze","insel","euaustritt","kershaw","nordirland","vereinigte","handel","beobachter","brexits","irland","impfstoffs"
"38","politische","chirac","premier","peso","argentinischen","landes","europaeischen","tuerkische","staaten","resona","krone","solbes","parlament","eukommission","anc","putins","schuessel","jacques","europa","verfassung","bruessel","italienische","janukowitsch","tuerkischen","enel","praesidenten","atatuerk","lee","wladimir","tuerkische","georgischen","iren","union","roma","putin","giovanni","sarkozy","clegg","erdogan","nicolas","staatschef","josé","korruption","medwedjew","grossbritannien","athen","ministerpraesident","finanzminister","paris","italienischen","nawalnij","le","praesidenten","europawahl","russen","tuerkei","grossbritanniens","premierminister","le","konservative","england","europas","abstimmung","frankreich","juni","zoelle","tories","freihandelsabkommen","harten","wirtschaft","republik","unternehmen","england","ausstieg","theresa","stimmen","ende","europaeische","mehrheit","parlament","boris"
"39","praesident","mertlik","auslaendische","tuerkischen","bruesseler","parlament","ankara","zypern","eustaaten","argentinische","madrid","eukommission","aznar","europaeische","erdogan","tuerkische","parlament","de","bruesseler","europas","mexiko","land","juschtschenko","fabius","franzoesischen","wahl","browns","daenemark","russischen","tuerkischen","harper","thailand","europa","irland","ungarn","moskau","bankgeheimnis","mrd","staatspraesident","polen","praesident","politiker","serbien","clegg","praesident","front","partei","reformen","moskau","union","alexandra","hauptstadt","konflikt","europaeische","hollande","westlichen","dollar","waehrung","abgeordneten","sozialisten","regierungschef","euaustritt","votum","europaparlament","europas","corbyn","england","zollunion","rede","kontinent","parlament","hammond","ausstiegsvertrag","corbyn","ungeordneten","freihandelsabkommen","verlaengerung","eukommission","leyen","uk","hiess"
"40","waehrungsfonds","italien","kroatien","kommission","franzosen","wahlen","frankreich","paris","jacques","lateinamerika","moskau","investoren","litauen","franzosen","moskauer","franzoesische","bruesseler","mitgliedstaaten","eustaaten","russische","revolution","staaten","labour","eubeitritt","europaeischen","juppé","guel","grossbritannien","parteien","bekannte","anwar","polen","briten","korruption","polnischen","polen","praesidentin","finanzminister","wto","franzoesischen","zeitung","finanzminister","merkel","rajoy","opposition","wahlen","frankreichs","europaeer","sterne","erdogan","rom","russlands","aussenminister","europa","grossbritanniens","bruessel","labour","landes","kosovo","frankreichs","premierminister","austritts","premier","eustaaten","schweiz","downing","wirtschaft","erntehelfer","juni","union","vorbereitung","uebergangsphase","regierung","frist","euaustritt","londoner","jahresende","unterhaus","orbán","zoellen","europaeischer"
"41","thaksin","argentinischen","ibex","russische","laendern","investoren","region","wirtschaftsminister","premierminister","argentiniens","russischen","europa","litauische","spanien","putin","europas","rumaenien","italien","ministerpraesident","niederlaender","europas","berlusconis","reid","staaten","premier","sozialistischen","polen","wladimir","justiz","frankreich","opposition","politische","ubs","putin","hatoyama","vertrag","argentinien","eurozone","italiens","roma","italienische","griechenland","jugendarbeitslosigkeit","merkel","italiener","samaras","samaras","mehrheit","londoner","italiens","aussenminister","brignoles","françois","grossbritannien","edinburgh","landes","ukrainekrise","verbleib","grossbritannien","erdogans","londoner","europaeische","david","dublin","tuerkei","land","davis","kontinent","irland","drechsler","nordirland","harten","irland","angesichts","no","ende","januar","grenfell","schrems","mondiale","toennies"
"42","erweiterung","cardoso","slowenien","erweiterung","jacques","wahlgang","fraga","bruesseler","verfassung","eubeitritt","wladimir","europaeische","parlamentswahlen","europaeischen","russischer","aufnahme","westlichen","niederlanden","investoren","paris","jacques","balkenende","europas","landes","russlands","premier","de","wirtschaft","russische","irische","ukraine","irland","avignon","russen","opposition","russischen","polen","gazprom","russischen","frankreichs","eukommissar","papandreou","athen","wto","kroatien","argentinien","argentinien","mario","russische","pierre","zuruecktreten","franzoesische","socar","mehrheit","lloyds","stimmen","pfund","erdogan","abspaltung","madrid","westen","juncker","zugang","renzi","europaeer","europaeischen","landes","zoelle","folgen","ceu","cameron","referendum","verhandlungen","british","konservativen","irischen","beziehung","uebergangsperiode","england","binnenmarkt","impfdosen"
"43","abwertung","ecevit","real","dollar","de","parlamentswahlen","krise","parlament","tuerkische","premier","monti","yukosaffaere","mrd","madrid","rumaenien","tschechien","landes","niederlaender","premier","de","wladimir","eta","regierungschefs","westen","tuerkei","beitritt","landes","politiker","oesterreich","wladimir","regierungschef","de","gagarin","sofia","josé","russlands","weissrussland","david","borg","neuwahlen","regierungschefs","frankreichs","sozialisten","briten","slowakei","troika","tageszeitung","franzosen","tuerkei","russische","casson","kirchners","gagliardi","putins","wirtschaftssanktionen","separatisten","europaeischen","miliband","konservativen","poroschenko","juni","partei","europaeische","mays","abstimmung","konservative","tuerkische","arbeiter","union","rover","mclaren","bruesseler","nordirland","labour","vereinigte","vertrag","vereinigten","verlaengerung","deal","fischer","pharmaindustrie"
"44","waehrung","foederation","union","eukommission","union","ukraine","polen","frankreichs","laender","paribas","brasilien","wahlen","italienischen","belka","politischen","paris","barroso","erdogan","bbva","dollar","verfassung","wladimir","thailand","russen","hazell","wladimir","lula","sarkozy","staaten","shirakawa","dmitrij","staatlichen","europaeische","kap","manuel","griechische","beamten","italien","opposition","ungarn","spanien","insel","politische","napolitano","staatspraesident","sozialist","rumaenien","politische","mehrheit","ayrault","zamboanga","putins","maidan","reformen","praesidenten","bashneft","ukrainischen","nemzowa","jeanmarie","polen","italien","farage","unsicherheit","konservativen","eukommission","einwanderung","harten","firmen","eustaaten","brexits","england","kompromiss","ungeregelten","ende","backstop","jeremy","parlament","juni","wirtschaftsleistung","brexitverhandlungen","land"
"45","putin","slowakei","frankreich","russlands","ungarn","premier","russischen","portugal","gaulle","bnp","waehrungsunion","stabilitaet","spanier","lateinamerika","mexiko","ariman","beitritt","staaten","mandelson","blair","sozialisten","madariaga","italien","parlament","sosa","politischen","wahl","timoschenko","politische","europaeischen","mbeki","anc","staatspraesident","europaeische","sarkozy","tuerkei","brown","parteien","pdl","euro","fukushima","draghi","modernisierung","premierminister","le","hollandes","niederlande","montenegro","partei","angela","kurs","timoschenko","raffinerie","premierminister","tuerkei","konflikt","frankreichs","rzchiladse","kiew","ciudadanos","frankreich","vereinigten","landes","konservative","england","farron","eustaaten","verpflichtungen","gestimmt","klarheit","euaustritt","cbi","juni","unsicherheit","mehrheit","union","hai","stimmen","macron","englands","may"
"46","privatisierung","dollar","landes","europaeische","premierminister","premierminister","chirac","franzoesischen","chile","dollar","tuerkei","la","eukommission","mitgliedstaaten","griechenland","eukommission","madrid","verheugen","polens","wahlen","tuerken","argentinien","franzoesische","strausskahn","wahlen","europaeische","franzoesischen","ukraine","staatspraesident","europaeische","polnischen","paris","premierminister","regierungschef","uefa","praesidenten","matt","madrid","europaeische","moskau","italiener","italienische","italiener","referendum","vertrag","griechenland","holland","ukraine","david","parlament","dogan","vilnius","unabhaengigkeit","politische","front","schweizer","parlamentswahlen","wladimir","kosovaren","podemos","front","  ","juncker","polen","artikel","tuerkei","unsicherheit","union","barnier","ungarischen","milliarde","konservativen","mehrheit","irland","brexits","irland","irland","austritt","privacy","johnsons","zuber"
"47","russlands","lateinamerika","la","krise","belgien","kandidaten","sch","mexikanischen","veto","union","regierungschef","wirtschaft","region","zypern","staat","yukos","wladimir","premier","tnkbp","politischen","ukrainische","praesident","bruessel","sozialistischen","falklands","opposition","istanbul","tschechien","akp","italiener","suedossetien","insel","kiew","europas","praesident","saakaschwili","haag","schweiz","konservative","merkel","angela","kuehlschrank","papandreou","italiener","rungis","di","russland","fidesz","politische","gemeinschaft","europa","moldau","blocher","konservativen","david","moskauer","mehrheit","insel","volkseinheit","regierungschef","euaustritt","brexits","regierungschefs","premier","bruesseler","deal","land","juni","austritts","george","carney","eukommission","abstimmen","vorbereitet","eukommission","kuenftige","fischerei","wirtschaftsleistung","hogan","fahrmeir","pfizer"
"48","staatlichen","europa","laender","union","italien","staatspraesident","serra","putin","venezuela","chirac","praesident","mrd","argentinien","europas","finanzminister","direktinvestitionen","osteuropa","tschechien","koizumi","frankreichs","europaeische","baskenland","sozialisten","warschau","argentinien","europa","kandidaten","aires","mazedonien","wahl","konflikt","vertrag","parlament","anhaenger","europaeische","schweden","minsk","liberaldemokraten","politisch","schweden","pakt","islaender","parlament","veto","merkel","nea","praesidenten","athen","europaeischen","mario","berlusconis","defend","janukowitsch","eukommission","alex","bulgarien","osten","stimmen","insel","praesidenten","europas","umfragen","premierministerin","folgen","festland","dup","europaeische","unabhaengigkeit","verhandlungen","liste","barnier","haushalt","zollunion","oktober","vertrag","verschiebung","sothebys","mehrheit","starmer","wunderlich","koenigreich"
"49","premier","privatisierung","franzoesischen","banco","kandidaten","niederlanden","laender","serra","franzosen","eumitgliedschaft","wirtschaft","parlament","chirac","kommission","barroso","russlands","dollar","mexiko","istanbul","gaidamak","praesidenten","verheugen","staatsstreich","dalos","liberalisierung","staat","islam","buenos","polen","polen","tuerkischen","britische","morales","kasachstan","berlusconis","landes","rato","spanien","bauer","europas","franzoesischen","mediapart","italienischen","union","moskau","premierminister","stimmen","ruecktritt","london","spanien","roma","neuwahlen","cameron","amt","krim","reformen","merkel","konservative","sozialisten","italiener","stimmen","eustaaten","eustaaten","tuerkei","hammond","kontinent","cameron","konservative","britain","irland","chaotischen","irland","zweites","vertrag","brexitunsicherheit","brexitreferendum","norden","ferrari","irland","europaeer","pharmafirmen"
"50","finanzminister","domingo","tuerkischen","berlusconis","moskau","praesidentschaftswahlen","frankreichs","region","fox","osteuropaeischen","reformen","region","estland","grossbritannien","berlusconi","staat","brasilien","aussenminister","mrd","janukowitsch","putins","miller","osteuropa","politischen","umfrage","vertragsrecht","caracas","istanbul","mombasa","dpj","macht","franzoesischen","politische","amtszeit","eukommission","red","russlands","athener","abkommen","papandreou","fessenheim","auslaendische","giulio","russischen","haushaltsdisziplin","reformen","waehrung","italiens","reformen","berlusconi","frankreichs","praesidenten","europaeer","regierungschef","nationalisten","frankreich","poroschenko","kreml","unabhaengigkeit","bruessel","sanktionen","londons","norwegen","hammond","parlaments","street","euauslaender","festland","abkommen","boris","raab","firmen","parlamentarier","juni","handelsabkommen","nordirische","irische","konstruktion","insel","weihnachten","frachtraten"
