"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"27","deutsche","wirtschaftsforschungsinstitute","wirtschaftswachstum","deutlich","deutsche","gestiegen","usa","wirtschaftswachstum","erholung","erholung","deutsche","rechnen","februar","investitionen","plus","quartal","zahl","erwartet","volkswirte","institut","erwartet","prognosen","prognose","umfrage","vierten","aufschwungs","erwarten","staerker","umfrage","gesunken","stark","rechnet","einbruch","umfrage","zahl","verbraucher","prognose","zahl","eurozone","plus","preise","befragten","zweiten","aufschwung","preise","rechnet","produktion","rueckgang","rezession","arbeitsmarkt","anstieg","dritten","arbeitsmarkt","konsum","halbjahr","vorjahr","konsum","nachfrage","volkswirtschaft","oekonomen","erwartet","effekte","rechnet","internationale","euro","anstieg","industrie","experten","polen","kommenden","quartal","weltwirtschaft","brexit","entwicklung","finanzkrise","nachfrage","wirtschaftsleistung","bip","deutlich","lockdowns","konsum","einzelhandel"
"28","jahres","zweiten","erholung","stimmung","entwicklung","konsum","juli","deutsche","vierten","investitionen","kommenden","monaten","anstieg","plus","ersten","aufschwung","rueckgang","aufschwung","minus","dritten","gestiegen","februar","naechsten","monat","daten","industrie","prognose","kommenden","euro","wirtschaftswachstum","erwartet","einzelhandel","investitionen","zahl","arbeitsmarkt","huether","deutsche","deutsche","niveau","arbeitsmarkt","industrie","erwarten","juli","abschwung","prognostiziert","verbraucher","krise","nachfrage","beschaeftigung","trotz","brasilien","rezession","dynamik","gesunken","bruttoinlandsprodukt","bundesregierung","china","deutlich","schwellenlaender","quartal","entwicklung","steigen","grossbritannien","auswirkungen","vorjahr","stimmung","aufschwung","befragten","trotz","hierzulande","firmen","bip","konsum","aufschwung","prognose","deutschlands","milliarden","industrie","firmen","minus","duerfte","einbruch"
"29","erwartungen","investitionen","industrie","industrie","deutlich","eurozone","konsum","prognosen","halbjahr","deutlich","arbeitsmarkt","befragten","industrie","haushalte","investitionen","arbeitslosigkeit","gestiegen","punkte","entwicklung","bip","institut","positiv","jahresende","studie","studie","erwartungen","steigende","rechnet","weltwirtschaft","rechnet","aufschwung","finanzmarktkrise","abschwung","zimmermann","konsum","minus","minus","deutlich","juni","volkswirtschaft","erwarten","prognosen","stark","rechnen","verbraucher","erwartet","schuldenkrise","rechnen","deutschen","aussichten","prognose","vergleich","lage","vorjahr","folge","insgesamt","nachfrage","stark","prognosen","wirtschaftlichen","schwellenlaendern","branchen","zahl","steigen","befragten","milliarden","rueckgang","erwartet","indien","handelskonflikt","nachfrage","erwartet","entwicklung","weltwirtschaft","entwicklung","handelskonflikte","arbeitsmarkt","konjunkturpaket","prognose","branchen","rechnet","firmen"
"30","wirtschaftswachstum","privaten","bruttoinlandsprodukt","dritten","einzelhandel","vergleich","eurozone","erwartet","bip","monaten","konsum","kommenden","verbraucher","rueckgang","deutlich","prognose","anstieg","oecd","hohen","mehrwertsteuererhoehung","wachstumsprognosen","gestiegen","oelpreis","vaetermonate","rueckgang","positiven","zahl","weihnachtsgeschaeft","hohen","belastungen","elektroindustrie","entwicklung","entwicklung","deutschen","krise","kraemer","deutschland","anstieg","vergleich","erwartet","erwartet","arbeitslosigkeit","wachsen","optimistisch","erwarten","duerfte","folge","weltwirtschaft","deutsche","maerz","eurokrise","zahl","hierzulande","stieg","fruehjahr","gesunken","arbeitsmarkt","firmen","zweiten","haushalte","niedrigen","dihk","duerfte","oekonomen","aussenhandel","rezession","deutscher","konsum","umfrage","weltwirtschaft","rueckgang","kommende","milliarden","aussichten","usa","plus","erwartet","branchen","finanzkrise","rechnen","investitionen","ersten"
"31","anstieg","wirtschaftswachstum","weltwirtschaft","investitionen","minus","rechnet","zahl","prognose","zweiten","punkte","privaten","wirtschaftswachstum","plus","zahl","anstieg","erwartet","vergangenen","horn","arbeitsmarkt","erwartet","zew","vergleich","mai","anstieg","positiven","steigende","rueckgang","euro","abschwaechung","einkommen","insgesamt","stark","kraemer","aufschwung","prognosen","arbeitslosigkeit","branche","niveau","april","trend","kommenden","anstieg","plus","gestiegen","oekonomen","aufschwung","unsicherheit","wirtschaftsleistung","rechnen","ausland","rechnen","erwartet","schwellenlaendern","anstieg","minus","eurozone","quartal","laendern","krise","milliarden","ungleichheit","gestiegen","brexitvotum","entwicklung","institut","trotz","institut","ausgaben","prognose","rund","treier","experten","davos","weltkonjunktur","kurzarbeit","rueckgang","minus","umfrage","arbeitslosigkeit","arbeitsmarkt","ersten","krise"
"32","export","vorjahr","index","konjunkturelle","eurozone","anstieg","investitionen","monaten","deutlich","oekonomen","zahlen","halbjahr","befragten","gestiegen","minus","deutlich","instituts","deutlich","wirtschaftsforschung","rueckgang","nachfrage","steigende","deutlich","forscher","wirtschaft","erwartet","stimmung","einschaetzung","konsumenten","durchschnitt","preise","einbruch","rechnen","einbruch","deutlich","durchschnitt","prognosen","stark","deutschen","rueckgang","loehne","beschaeftigung","einzelhandel","preise","rechnen","schuldenkrise","investitionen","exporte","wirtschaftsleistung","laut","nachfrage","bundesregierung","volkswirtschaften","lage","kommenden","rezession","steigende","steigende","produktion","duerfte","laendern","iw","gestiegen","prognose","bip","usa","milliarden","jahren","personen","vorjahr","risiken","drittel","wachstumsraten","rueckgang","deutlich","krise","vergleich","arbeitsmarkt","vergleich","einbruch","konjunktur","halbjahr"
"33","investitionen","aufschwung","deutsche","konsum","vorjahr","april","gestiegen","wirtschaftsforschung","februar","stimmung","deutlich","gestiegen","gestiegen","stimmung","rechnen","privaten","prognose","umfrage","zew","aussichten","optimistisch","stimmung","umfrage","verbraucher","ipcc","naechsten","beschaeftigung","reformen","zahl","erwartungen","experten","deutsche","oekonomen","bruttoinlandsprodukt","aufschwung","prognose","zahlen","prognose","deutsche","befragten","rechnet","rechnen","deutlich","oecd","eurokrise","eurozone","euroraum","september","erholung","befragten","stieg","anstieg","steigenden","rechnet","nachfrage","geopolitischen","preise","vergangenen","rechnet","anstieg","stimmung","maschinen","branchen","wirtschaftsleistung","ausgaben","exporte","plus","anstieg","bundesrepublik","oecd","dihk","soli","nachfrage","rechnet","vorjahr","deutlich","bip","deutsche","wachstum","arbeitslosigkeit","milliarden","plus"
"34","konsum","steuerreform","einschaetzung","oktober","weltwirtschaft","oekonomen","industrie","november","oelpreis","plus","august","erwartungen","trotz","vergleich","eurozone","weltwirtschaft","export","boerner","wirtschaftswachstum","duerfte","binnennachfrage","punkte","juni","steigen","stimmung","prognose","abschwung","deutschen","einschaetzung","gestiegen","staerker","umfrage","auftraege","sechs","entwicklung","falser","steigen","steigen","export","weltwirtschaft","befragten","bip","bundesbank","erwartet","deutsche","kommenden","laendern","aufschwung","stimmung","vorjahr","deutlich","steigen","rechnen","bruttoinlandsprodukt","ukraine","trotz","anstieg","trend","bruttoinlandsprodukt","niedrigen","instituts","weltwirtschaft","wirtschaftsforschung","unsicherheiten","maschinen","sorge","frankreich","handel","vergleich","befragten","export","export","prognosen","arbeitsmarkt","bruttoinlandsprodukt","konjunkturelle","auswirkungen","erwartet","duerfte","pandemie","erwartet","entwicklung"
"35","privaten","usa","stimmung","bruttoinlandsprodukt","dezember","vorjahr","monaten","plus","erwartet","arbeitslosigkeit","vorjahr","weltwirtschaft","weltwirtschaft","befragten","vorjahr","export","hwwa","gfk","plus","haushalte","zuwachs","schwung","vier","rechnet","privaten","niveau","gestiegen","usa","rezession","befragten","jahren","schmidthebbel","produktion","deutsche","oekonomen","rechnet","monaten","stimmung","befragten","stimmung","oelpreis","weltwirtschaft","erwartungen","deutlich","minus","stimmung","iw","rund","gestiegen","rechnen","ausland","wirtschaftsforschung","tuerkei","wirtschaftsleistung","gesunken","aktuelle","haushalte","konsum","volksrepublik","trend","iw","risiken","firmen","deutschlands","rueckgang","konsumenten","studie","steigenden","eu","vergangenen","aufschwung","steuereinnahmen","rund","fuest","oecd","minus","prognose","mehrwertsteuersenkung","konsum","investitionen","deutsche","zahl"
"36","stimmung","januar","erwarten","deutsche","optimistisch","zahlen","anstieg","zahl","zahl","minus","investitionen","exporte","bruttoinlandsprodukt","export","stimmung","deutsche","arbeitslosigkeit","inland","konsumenten","punkte","lage","maerz","stieg","rechnen","gestiegen","marke","umfrage","vorjahr","arbeitsmarkt","bericht","plus","duerfte","umfrage","schrumpfen","iw","vorjahr","befragten","weltwirtschaft","rueckgang","investitionen","niveau","rechnet","befragten","verbraucher","zahl","steigen","monaten","monaten","ausland","bip","vorjahr","insbesondere","logistikimmobilien","carlsberg","insgesamt","plus","wirtschaftliche","millionen","staerker","prognose","risiken","erwartet","kommenden","deutlich","niedrigen","rechnet","prognosen","arbeitslosigkeit","prozentpunkte","erwartet","erwartet","befragten","plus","befragten","volkswirtschaft","scholz","rechnet","konsum","china","konsum","kurzarbeit","kurzarbeit"
"37","februar","verbraucher","oekonomen","terroranschlaegen","rechnen","investitionen","deutsche","rechnen","weltwirtschaft","gestiegen","vergangenen","investitionen","stagnation","kommenden","vergleich","umfrage","optimismus","erwarten","prozentpunkte","positiven","liegt","guten","niveau","positiv","ifw","quartal","meisten","ersten","unternehmen","duerfte","rechnen","abschwung","krise","arbeitsmarkt","niveau","einwohnern","rechnen","umfrage","duerfte","naechsten","china","laendern","preise","weltwirtschaft","jahresende","arbeitslosigkeit","gestiegen","zew","dihk","prognose","arbeitslosenquote","wirtschaftswachstum","insgesamt","duerfte","schwache","investieren","geopolitischen","branchen","kommenden","wachsen","schwellenlaender","diw","ueberraschend","rund","vergleich","china","erwartet","gestiegen","china","ausgaben","bip","wirtschaftswachstum","binnenkonjunktur","branchen","halbjahr","dritten","lieferketten","deutschen","instituts","naechsten","bip","trotz"
"38","arbeitsmarkt","rechnen","prognosen","nachfrage","vergleich","rezession","punkte","investitionen","wirtschaftsforschung","industrie","monaten","erwarten","zahl","bruttoinlandsprodukts","erwartet","trend","gfk","stimmung","privaten","oelpreis","stieg","deutlich","erwartet","erwarten","kraeftigen","einschaetzung","rechnet","trend","weltkonjunktur","ausgaben","eurozone","euro","sparen","ausfuhren","wirtschaftsleistung","industrie","bruttoinlandsprodukt","wachsen","einschaetzung","anstieg","rechnen","investitionen","exporte","zulegen","steigen","zahl","plus","firmen","trotz","schwachen","arbeitslosigkeit","produktion","aufschwung","kommenden","konsum","entwicklung","stark","oecd","doehrn","steigen","firmen","forscher","unsicherheit","haushalte","aufschwung","forscher","erwarten","studie","handel","protektionismus","steigen","anstieg","rechnet","prognose","ausland","branche","rund","arbeitslosigkeit","niveau","deutlich","fruehjahr","instituts"
"39","punkte","unten","august","zahl","rueckgang","prognosen","belebung","befragten","erwarten","oecd","industrieproduktion","umfrage","prognose","minus","leicht","haushalte","erwarten","hohen","ersten","private","anzeichen","ersten","zahl","stimmung","gesunken","vergangenen","fuerchten","weltkonjunktur","duerften","firmen","laendern","firmen","industrie","haushalte","exporte","duerfte","erwartet","trotz","rezession","rechnen","optimistisch","kommenden","iw","bip","wachsen","stark","kurzarbeit","arbeitsmarkt","lage","tuerkei","aufschwung","beschaeftigung","konsum","erwarten","anstieg","deutlich","ausgaben","oelpreis","vergangenen","forscher","prognose","rezession","iwf","iwf","arbeitslosigkeit","prognosen","wert","monaten","schnitt","volkswirtschaften","preise","studie","deutlich","schwaeche","milliarden","bruttoinlandsprodukt","globale","wachstum","bip","aufschwung","arbeitslosigkeit","rund"
"40","ersten","aussichten","terroranschlaege","erwarten","lag","zahl","weltwirtschaft","institut","minus","erwarten","eurozone","konsumenten","private","monaten","prognose","anstieg","zweiten","inlandsnachfrage","unternehmer","positive","iwf","unsicherheiten","duerfte","prognostiziert","deutschen","zahl","weltwirtschaft","gestiegen","deutschen","teurer","nachfrage","erwarten","folge","wittenstein","rechnet","bip","gewachsen","kommenden","beschaeftigung","laut","prognostiziert","steigen","arbeitslosigkeit","china","konsum","jahresbeginn","eurozone","wachsen","investitionen","euroraum","rund","deutschlands","zulegen","wachstums","wachsen","prognose","wachsen","russland","zunehmend","brasilien","quartal","volkswirtschaft","konsum","vergleich","konsum","zwoelf","entwicklung","hierzulande","millionen","rezession","kommenden","zoelle","vergleich","vorjahr","konjunkturelle","stark","vorjahr","rechnen","umfrage","fruehjahr","lag","deutschen"
"41","laufenden","lage","prognose","ersten","belebung","rechnen","erwarten","arbeitsmarkt","eurozone","umfrage","impulse","hoffnung","januar","oekonomen","institut","nachfrage","konsumenten","monaten","kommenden","zuwachs","maerz","auftragseingaenge","deutschland","prognosen","erwartungen","institut","bip","vergleich","jahresende","jahrzehnts","verbraucher","studie","gestiegen","arbeitslosigkeit","lage","studie","plus","oecd","oekonomen","bruttoinlandsprodukt","lage","zeitarbeit","weltwirtschaft","investitionen","weltwirtschaft","dihk","rechnen","konsum","gesunken","weltwirtschaft","rechnet","nachfrage","aktuelle","niedrigen","deutschlands","erwartet","lage","plus","erholung","erwarten","vergangenen","befragten","gfk","milliarden","tuerkei","deutlich","insgesamt","milliarden","lag","laender","vergangenen","deutlich","abschwung","stark","schwaeche","oekonomen","coronaepidemie","china","zahl","ifw","betriebe","studie"
"42","jahreshaelfte","deutsche","institut","weltwirtschaft","einschaetzung","branche","rechnen","weihnachtsgeschaeft","dritten","vorjahr","rezession","weihnachtsgeschaeft","verbrauch","erwartet","zahl","erwarten","trotz","konsumenten","leicht","export","verbessert","wirtschaftsforschung","deutsche","arbeitslosigkeit","jahres","konjunktur","haushalte","eurozone","laufenden","laufende","arbeitsmarkt","stimmung","halbjahr","zweiten","monaten","umfrage","niveau","bip","monaten","gesunken","japan","optimismus","industrie","firmen","lage","anstieg","hierzulande","zahl","nachfrage","insgesamt","ueberraschend","bip","wachsen","prognosen","stark","wirtschaftspolitik","rezession","einkommen","arbeitsmarkt","instituts","kommenden","prognose","loehne","bip","lage","kommenden","hoeher","preise","aussenhandel","deutlich","china","risiken","handel","vergangenen","infrastruktur","brexit","epidemie","bruttoinlandsprodukt","stark","nachfrage","punkte","erwarten"
"43","gestiegen","fruehjahrsgutachten","leicht","anschlaege","optimismus","einzelhandels","plus","rechnet","konsumenten","arbeitsmarkt","export","belebung","vierten","impulse","export","steigen","oekonomen","prognosen","juni","erwarten","prognostiziert","bip","verbraucher","ansicht","instituts","arbeitsmarktreformen","deutschland","durchschnitt","stark","einschaetzung","vorjahr","stabil","handel","steigen","konjunkturelle","deutlich","arbeitsmarkt","rechnet","steigen","wachsen","prognosen","arbeitslosen","vergangenen","prognostiziert","dihk","erwarten","erwartet","trotz","hierzulande","april","vergleich","diw","stark","indien","wirtschaftliche","rechnen","usa","studie","erwartet","anteil","oelpreis","bruttoinlandsprodukt","insgesamt","gut","milliarden","zeuner","verbraucher","waechst","befragten","volkswirtschaft","badenwuerttemberg","aufschwung","lag","groesste","bip","milliarden","firmen","weber","branchen","weltwirtschaft","weltwirtschaft","industrie"
"44","verbraucher","positive","anstieg","lage","vergangenen","erwarten","arbeitslosigkeit","zweiten","vorjahr","konsum","plus","index","haushalte","duerfte","exporte","zweiten","bruttoinlandsprodukt","binnennachfrage","erwartet","vergleich","erreicht","export","deutschen","herbstgutachten","einschaetzung","drei","trend","oekonomen","firmen","usa","branchen","naechsten","weltwirtschaft","arbeitslosen","deutschen","rezession","stark","punkte","weltwirtschaft","export","experten","einschaetzung","niveau","zunehmend","umfrage","oekonomen","china","deutlich","deutlich","aufschwung","erwarten","hierzulande","vier","ukrainekrise","vergleich","ukraine","wirtschaftsleistung","anstieg","zahl","zahl","wachstumsraten","laut","prognose","bruttoinlandsprodukt","gestiegen","export","bundesbuerger","umfrage","langfristig","konsum","vergleich","gestiegen","wachstums","messe","maschinenbauer","bip","duerften","betriebe","schuldenbremse","einschraenkungen","einzelhandel","rechnen"
"45","duerfte","minus","daten","zahlen","leicht","wirtschaftsforschung","vormonat","deutlich","punkte","einschaetzung","stieg","privaten","minus","april","volkswirte","investieren","private","privaten","rechnet","daten","vergangenen","firmen","gesunken","steuererhoehung","deutlich","rueckgang","experten","naechsten","rechnen","ausfallen","prognosen","zahl","stark","firmen","experten","entwicklung","kommenden","einbruch","wirtschaftsleistung","stark","gesunken","indien","stimmung","studie","stagnation","steigenden","oecd","vergleich","kommenden","monaten","ersten","schwellenlaendern","umfrage","stimmung","zweite","investitionsschwaeche","gesunken","rechnet","wirtschaftliche","loehne","volkswirtschaften","volkswirtschaften","deutlich","verbraucher","ausfuhren","verbraucher","gegenueber","sektor","deutlich","laendern","oecd","millionen","gestiegen","handel","maschinenbau","kommenden","weisen","erwarten","institut","bundesregierung","iwf","coronakrise"
"46","gegenueber","institut","privaten","arbeitsmarkt","jahreshaelfte","umsaetze","institut","umfrage","leicht","eurozone","zahl","stimmung","wirtschaftsforschung","oelpreis","privaten","firmen","gesunken","oelpreis","bundestagswahl","institute","index","erwartungen","instituts","halbjahr","investitionen","gestiegen","hoehepunkt","stimmung","positiven","studie","energiepreise","quartal","wirtschaftsleistung","niveau","positive","zahl","jahresende","wirtschaftliche","verbraucher","privaten","stark","handelsblatt","wachstums","oekonomen","branche","aussichten","aussichten","niveau","insgesamt","elektroindustrie","beschaeftigung","dihk","maerz","stark","irak","auftraege","harms","wachsen","halbjahr","trotz","prozentpunkte","laendern","punkte","ausfuhren","steigenden","wirtschaftswachstum","china","iwf","laendern","prognosen","forschung","vorjahr","unsicherheiten","produktion","oekonom","finanzkrise","wirtschaftsweisen","wirtschaftsleistung","lage","instituts","krise","zweiten"
"47","handelsblatt","duerfte","rechnen","einbruch","stimmung","franzen","kommenden","volkswirte","monaten","zahl","institut","industrie","vergangenen","wachsen","sank","erholung","wirtschaftsleistung","nachfrage","nachfrage","buerkl","fussballweltmeisterschaft","kommenden","konsum","knapp","mehrwertsteuer","mai","verbraucher","verbraucher","staerker","staerker","steigende","bip","verbraucher","vergleich","mai","rechnen","exporte","eurozone","gewachsen","studie","optimismus","konsum","konjunkturelle","branchen","abschwung","rechnen","prognose","dritten","jahres","lage","diw","arbeitslosigkeit","brasilien","preise","wirtschaftswachstum","anstieg","oekonomen","steigen","lage","ifw","geopolitischen","umfrage","milliarden","arbeitsmarkt","steigen","gfk","oesterreich","kommenden","rueckgang","direktinvestitionen","handelsstreits","branchen","staerker","volkswirtschaft","handelsstreit","vorjahr","anstieg","steigen","bruttoinlandsprodukt","lieferketten","gewerbe","gestiegen"
"48","nachfrage","maerz","anschlaege","vorjahr","erreicht","produktion","prognosen","gegenueber","folge","bruttoinlandsprodukts","dritten","vierten","erwarten","wirtschaftsforschungsinstitute","weltwirtschaft","iw","jahreshaelfte","export","binnennachfrage","bruttoinlandsprodukt","kommenden","rechnet","jahres","deutschland","arbeitslosigkeit","maerz","zew","wirtschaftswachstum","veroeffentlichten","folge","konsum","auswirkungen","arbeitslosigkeit","investitionen","diw","gestiegen","aussichten","export","umfrage","erwartungen","quartal","firmen","erwarten","trotz","bruttoinlandsprodukt","plus","ba","kommende","vorjahr","kommenden","rueckgang","laendern","wirtschaftswachstum","mindestlohn","arbeitslosigkeit","branchen","optimismus","wirtschaftliche","wachsen","industrie","vergleich","euler","plus","duerfte","millionen","steigende","arbeitsmarkt","vergleich","mitteilte","wansleben","ausgaben","produktion","umfrage","abschwung","vdma","laut","branche","aufschwung","rechnen","wirtschaftsleistung","instituts","hierzulande"
"49","unten","arbeitsmarkt","terroranschlaegen","umsaetze","konjunkturelle","jahres","stimmung","einzelhandel","umfrage","zweiten","zuwachs","ersten","prozentpunkte","erwarten","monaten","zahlen","plus","weltwirtschaft","instituts","dihk","monaten","umfrage","bip","konsumausgaben","lage","ersten","arbeitsmarkt","punkte","beschaeftigung","befragung","stagnation","haushalte","defizit","jahres","bruttoinlandsprodukts","lage","diw","winter","investitionen","arbeitslosen","hoeher","erwartet","steigenden","euroraum","zeitarbeit","vorjahr","stieg","minus","oekonomen","sanken","hohe","zuversichtlich","wirtschaftsleistung","zahlen","laender","wirtschaftsleistung","plus","auswirkungen","profitiert","dienstleistungen","steigen","deutschlands","befragten","rechnet","unsicherheiten","konsum","kraeftig","bip","vergangenen","umfrage","konjunktur","prognose","anstieg","angesichts","konsum","exporte","folgen","stark","zweite","kooths","volkswirtschaft","betroffen"
"50","bruttoinlandsprodukt","oecd","trendwende","konsumenten","punkte","gingen","wirtschaftsforschung","erwartungen","befragten","stagnation","positive","zweiten","rechnet","schwache","gesunken","hohe","impulse","unternehmer","ifw","heise","erwarten","lage","van","ifoinstitut","nachfrage","derzeitige","privaten","einzelhandel","wirtschaftsforschung","leasing","lohnrunde","duerften","arbeitsmarkt","konjunktur","steigen","einbruch","vorjahr","homburg","volkswirtschaft","umfrage","investitionen","trend","jahreshaelfte","niveau","stark","preise","bip","erholung","weise","bruttoinlandsprodukt","weltwirtschaft","institut","steigen","vergangenen","geschrumpft","zuversicht","young","arbeitslosigkeit","laendern","rund","lage","insgesamt","spueren","monaten","anstieg","laut","diw","lage","ey","wirtschaftsforschung","ifoinstitut","unsicherheiten","steigen","protektionismus","bestellungen","lage","usa","schrumpfen","juni","wirtschaftliche","stark","vergleich"
